"geneSym","LTM_ori","LTM_abs"
"GTF3C4",-0.905667030429003,0.905667030429003
"GFOD1",-0.905623588916472,0.905623588916472
"CMAHP",0.905592816514003,0.905592816514003
"ZSCAN26",0.905392613416621,0.905392613416621
"NHLH2",0.905203826216076,0.905203826216076
"CLN8",0.904157668448485,0.904157668448485
"AMOT",0.903040228618524,0.903040228618524
"CENPA",0.902892108873928,0.902892108873928
"CCND1",-0.90283688830408,0.90283688830408
"TMEM42",0.902677900902552,0.902677900902552
"PPT2",0.901805319472468,0.901805319472468
"WDR74",-0.901268845049318,0.901268845049318
"CASC5",0.900877885116841,0.900877885116841
"ALOX12",0.900633541816573,0.900633541816573
"LOC102724993 /// LOC105376752 /// NPIP /// NPIPA5 /// NPIPA7 /// NPIPA8 /// PKD1P1",-0.900039658124006,0.900039658124006
"ZC3H6",0.899041620758456,0.899041620758456
"SMOX",0.898777063433761,0.898777063433761
"RAB11FIP4",-0.898311679289441,0.898311679289441
"MON1B",-0.897747921820413,0.897747921820413
"ADGRV1",-0.897564538754144,0.897564538754144
"CXorf23",-0.897453244945225,0.897453244945225
"MSRB1",0.897055068880582,0.897055068880582
"NDC80",0.896998056603638,0.896998056603638
"GUF1",-0.89683278383805,0.89683278383805
"BEX5",-0.896665744473431,0.896665744473431
"XBP1",-0.896418428972329,0.896418428972329
"GAREM1",0.896414435974502,0.896414435974502
"KBTBD4",-0.896265961490755,0.896265961490755
"HSP90AA1",-0.896254014896034,0.896254014896034
"VCP",-0.896225412462101,0.896225412462101
"NFYA",0.896187146524665,0.896187146524665
"DSCC1",0.896147703347409,0.896147703347409
"THADA",-0.896005960455268,0.896005960455268
"FLRT2",0.89574506316061,0.89574506316061
"ZNF275",-0.895456972762242,0.895456972762242
"WDR33",0.895213300590047,0.895213300590047
"CARD10",-0.894618241934559,0.894618241934559
"MLKL",0.894605614921139,0.894605614921139
"PBX3",0.894165444198915,0.894165444198915
"ELOVL4",0.894013793260507,0.894013793260507
"TYW1",-0.893618774580632,0.893618774580632
"P2RX7",0.89258841805809,0.89258841805809
"TUBGCP5",-0.892499409218499,0.892499409218499
"PRKCZ",-0.892267957925092,0.892267957925092
"SLC25A16",-0.891968591912502,0.891968591912502
"FAM76A",-0.891957807388106,0.891957807388106
"CALML4",-0.891956090451379,0.891956090451379
"CALD1",-0.891513407016395,0.891513407016395
"DBNDD2 /// SYS1-DBNDD2",-0.891408830495708,0.891408830495708
"BAIAP2",-0.891058481779266,0.891058481779266
"DNAL4",0.890257404394406,0.890257404394406
"CCNF",0.890214073502809,0.890214073502809
"CCPG1 /// DYX1C1-CCPG1",0.889516385405334,0.889516385405334
"DEPDC1",0.889481634215318,0.889481634215318
"DIDO1",-0.888669707801106,0.888669707801106
"SLC38A9",0.888442889776459,0.888442889776459
"PLEKHA8",0.887950981098949,0.887950981098949
"MCM9",-0.887658384862916,0.887658384862916
"BANP",0.887180064425239,0.887180064425239
"NEB",0.887155867656643,0.887155867656643
"ZBTB8A",-0.886193884373771,0.886193884373771
"GLUD1 /// GLUD2",-0.886171500048683,0.886171500048683
"SFXN3",0.885853737854286,0.885853737854286
"ZNF691",0.885108540749135,0.885108540749135
"UBE2C",0.884772090547282,0.884772090547282
"RASL11B",0.884685403999275,0.884685403999275
"BUB1",0.884313214137436,0.884313214137436
"SLC7A6",0.883902354243189,0.883902354243189
"PPOX",0.883800774285791,0.883800774285791
"TARS2",-0.883667159510705,0.883667159510705
"TMEM25",0.883503184149894,0.883503184149894
"RGL2",0.883475995547559,0.883475995547559
"CDC7",-0.883403694994492,0.883403694994492
"FRY",0.883346651110949,0.883346651110949
"PTP4A1",-0.883271557284384,0.883271557284384
"CD302 /// LY75-CD302",-0.882942142763215,0.882942142763215
"TEAD4",0.882392607541587,0.882392607541587
"OSBPL10",0.882376620148252,0.882376620148252
"YEATS2",0.881966786897486,0.881966786897486
"TPRG1",0.88178194665571,0.88178194665571
"UTP15",-0.881596058793496,0.881596058793496
"ATP6V1C2",0.881185014743824,0.881185014743824
"MFSD7",0.881125484973995,0.881125484973995
"TSPAN5",0.8801999372592,0.8801999372592
"KIFC1",0.879809139271366,0.879809139271366
"SMYD4",0.879037617631709,0.879037617631709
"NUMBL",-0.878804387875767,0.878804387875767
"AFAP1",-0.878728479522481,0.878728479522481
"IGFBP5",0.87854719297111,0.87854719297111
"E2F5",-0.877886873419492,0.877886873419492
"TRIM24",-0.877680355662808,0.877680355662808
"CPA4",0.876671003660186,0.876671003660186
"DCUN1D3",0.876302831977604,0.876302831977604
"DAB2IP",0.875781534694625,0.875781534694625
"MTFMT",-0.875768628241537,0.875768628241537
"GPAM",0.875622597672386,0.875622597672386
"LOC100128551 /// ZDHHC14",-0.874716621942746,0.874716621942746
"ZNF845",-0.874497968673589,0.874497968673589
"EIF4A2 /// SNORA63",-0.873851161022263,0.873851161022263
"RIF1",-0.87378293291912,0.87378293291912
"HTR7P1",0.873774442401038,0.873774442401038
"SZRD1",0.872688898909561,0.872688898909561
"PTP4A3",-0.872232445785056,0.872232445785056
"FGFBP2",0.871750335464558,0.871750335464558
